label,key,description,condition,category,technique,track_type,organism,strain,haplotype,first_author,pubmed_id
WO1_hapA_vcf,C. albicans WO-1 vs. SC5314 HapA Sequence Variants,"Sequence variants, WO-1 vs SC5314 Hap A",Wild-type,Sequence Variants,DNA-Seq,Variant,C. albicans,WO-1,A,Butler,19465905
,,,,,,,,,,,
WO1_hapB_vcf,C. albicans WO-1 vs. SC5314 HapB Sequence Variants,"Sequence variants, WO-1 vs SC5314 Hap B",Wild-type,Sequence Variants,DNA-Seq,Variant,C. albicans,WO-1,B,Butler,19465905
,,,,,,,,,,,
hapA_Sacc_phyloP_scores,"A4: Order Saccharomycetales conservation scores, HapA","SC5314 Hap A phyloP conservation scores from genomic alignment of 12 Saccharomycetales species: C. albicans, C. dubliniensis, C. parapsilosis, L. elongisporus, D. hansenii, C. glabrata, C. bracarensis, N. bacillisporus, S. cerevisiae, S. castellii, A. gossypii, and Y. lipolytica",Wild-type,Conservation,Genome Alignment,Conservation plot,C. albicans,SC5314,A,CGD,24185697
,,,,,,,,,,,
hapA_CTG_phyloP_scores,"A3: Family Debaryomycetaceae conservation scores, HapA","SC5314 Hap A phyloP conservation scores from genomic alignment of CTG clade: C. albicans, C. dubliniensis, C. tropicalis, C. parapsilosis, C. orthopsilosis, L. elongisporus, C. guilliermondii, D. hansenii, C. lusitaniae",Wild-type,Conservation,Genome Alignment,Conservation plot,C. albicans,SC5314,A,CGD,24185697
,,,,,,,,,,,
hapA_CanLod_phyloP_scores,"A2: Candida/Lodderomyces clade conservation scores, HapA","SC5314 Hap A phyloP conservation scores from genomic alignment of Candida/Lodderomyces clade: C. albicans, C. dubliniensis, C. tropicalis, C. parapsilosis, C. orthopsilosis, L. elongisporus",Wild-type,Conservation,Genome Alignment,Conservation plot,C. albicans,SC5314,A,CGD,24185697
,,,,,,,,,,,
hapA_alb_dub_phyloP_scores,"A1: albicans group conservation scores, HapA","SC5314 Hap A phyloP conservation scores from genomic alignment of C. albicans, C. dubliniensis and C. tropicalis",Wild-type,Conservation,Genome Alignment,Conservation plot,C. albicans,SC5314,A,CGD,24185697
,,,,,,,,,,,
hapB_Sacc_phyloP_scores,"B4: Order Saccharomycetales conservation scores, HapB","SC5314 Hap B phyloP conservation scores from genomic alignment of 12 Saccharomycetales species: C. albicans, C. dubliniensis, C. parapsilosis, L. elongisporus, D. hansenii, C. glabrata, C. bracarensis, N. bacillisporus, S. cerevisiae, S. castellii, A. gossypii, and Y. lipolytica",Wild-type,Conservation,Genome Alignment,Conservation plot,C. albicans,SC5314,B,CGD,24185697
,,,,,,,,,,,
hapB_CTG_phyloP_scores,"B3: Family Debaryomycetaceae conservation scores, HapB","SC5314 Hap B phyloP conservation scores from genomic alignment of CTG clade: C. albicans, C. dubliniensis, C. tropicalis, C. parapsilosis, C. orthopsilosis, L. elongisporus, C. guilliermondii, D. hansenii, C. lusitaniae",Wild-type,Conservation,Genome Alignment,Conservation plot,C. albicans,SC5314,B,CGD,24185697
,,,,,,,,,,,
hapB_CanLod_phyloP_scores,"B2: Candida/Lodderomyces clade conservation scores, HapB","SC5314 Hap B phyloP conservation scores from genomic alignment of Candida/Lodderomyces clade: C. albicans, C. dubliniensis, C. tropicalis, C. parapsilosis, C. orthopsilosis, L. elongisporus",Wild-type,Conservation,Genome Alignment,Conservation plot,C. albicans,SC5314,B,CGD,24185697
,,,,,,,,,,,
hapB_alb_dub_phyloP_scores,"B1: albicans group conservation scores, HapB","SC5314 Hap B phyloP conservation scores from genomic alignment of C. albicans, C. dubliniensis and C. tropicalis",Wild-type,Conservation,Genome Alignment,Conservation plot,C. albicans,SC5314,B,CGD,24185697
,,,,,,,,,,,
muzzey_chr1A_hapA_alignments,Muzzey HapA chr1A Alignments,"Aligned paired-end reads, chr1A homozygous, Hap A",chr1A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,AF9318_1,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr1A_hapA_coverage,Muzzey HapA chr1A Coverage,"Read coverage, chr1A homozygous, Hap A",chr1A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,AF9318_1,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr1A_hapA_density,Muzzey HapA chr1A Density,"Read density, chr1A homozygous, Hap A",chr1A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,AF9318_1,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr1A_hapA_vcf,Muzzey HapA chr1A Sequence Variants,"Sequence variants, chr1A homozygous, Hap A",chr1A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,AF9318_1,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr1A_hapB_alignments,Muzzey HapB chr1A Alignments,"Aligned paired-end reads, chr1A homozygous, Hap B",chr1A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,AF9318_1,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr1A_hapB_coverage,Muzzey HapB chr1A Coverage,"Read coverage, chr1A homozygous, Hap B",chr1A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,AF9318_1,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr1A_hapB_density,Muzzey HapB chr1A Density,"Read density, chr1A homozygous, Hap B",chr1A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,AF9318_1,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr1A_hapB_vcf,Muzzey HapB chr1A Sequence Variants,"Sequence variants, chr1A homozygous, Hap B",chr1A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,AF9318_1,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr2A_hapA_alignments,Muzzey HapA chr2A Alignments,"Aligned paired-end reads, chr2A homozygous, Hap A",chr2A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,AF3990,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr2A_hapA_coverage,Muzzey HapA chr2A Coverage,"Read coverage, chr2A homozygous, Hap A",chr2A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,AF3990,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr2A_hapA_density,Muzzey HapA chr2A Density,"Read density, chr2A homozygous, Hap A",chr2A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,AF3990,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr2A_hapA_vcf,Muzzey HapA chr2A Sequence Variants,"Sequence variants, chr2A homozygous, Hap A",chr2A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,AF3990,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr2A_hapB_alignments,Muzzey HapB chr2A Alignments,"Aligned paired-end reads, chr2A homozygous, Hap B",chr2A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,AF3990,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr2A_hapB_coverage,Muzzey HapB chr2A Coverage,"Read coverage, chr2A homozygous, Hap B",chr2A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,AF3990,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr2A_hapB_density,Muzzey HapB chr2A Density,"Read density, chr2A homozygous, Hap B",chr2A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,AF3990,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr2A_hapB_vcf,Muzzey HapB chr2A Sequence Variants,"Sequence variants, chr2A homozygous, Hap B",chr2A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,AF3990,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr3A_hapA_alignments,Muzzey HapA chr3A Alignments,"Aligned paired-end reads, chr3A homozygous, Hap A",chr3A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,RBY_10_10,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr3A_hapA_coverage,Muzzey HapA chr3A Coverage,"Read coverage, chr3A homozygous, Hap A",chr3A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,RBY_10_10,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr3A_hapA_density,Muzzey HapA chr3A Density,"Read density, chr3A homozygous, Hap A",chr3A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,RBY_10_10,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr3A_hapA_vcf,Muzzey HapA chr3A Sequence Variants,"Sequence variants, chr3A homozygous, Hap A",chr3A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,RBY_10_10,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr3A_hapB_alignments,Muzzey HapB chr3A Alignments,"Aligned paired-end reads, chr3A homozygous, Hap B",chr3A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,RBY_10_10,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr3A_hapB_coverage,Muzzey HapB chr3A Coverage,"Read coverage, chr3A homozygous, Hap B",chr3A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,RBY_10_10,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr3A_hapB_density,Muzzey HapB chr3A Density,"Read density, chr3A homozygous, Hap B",chr3A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,RBY_10_10,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr3A_hapB_vcf,Muzzey HapB chr3A Sequence Variants,"Sequence variants, chr3A homozygous, Hap B",chr3A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,RBY_10_10,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr4A_hapA_alignments,Muzzey HapA chr4A Alignments,"Aligned paired-end reads, chr4A homozygous, Hap A",chr4A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,RBY_E_6,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr4A_hapA_coverage,Muzzey HapA chr4A Coverage,"Read coverage, chr4A homozygous, Hap A",chr4A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,RBY_E_6,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr4A_hapA_density,Muzzey HapA chr4A Density,"Read density, chr4A homozygous, Hap A",chr4A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,RBY_E_6,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr4A_hapA_vcf,Muzzey HapA chr4A Sequence Variants,"Sequence variants, chr4A homozygous, Hap A",chr4A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,RBY_E_6,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr4A_hapB_alignments,Muzzey HapB chr4A Alignments,"Aligned paired-end reads, chr4A homozygous, Hap B",chr4A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,RBY_E_6,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr4A_hapB_coverage,Muzzey HapB chr4A Coverage,"Read coverage, chr4A homozygous, Hap B",chr4A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,RBY_E_6,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr4A_hapB_density,Muzzey HapB chr4A Density,"Read density, chr4A homozygous, Hap B",chr4A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,RBY_E_6,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr4A_hapB_vcf,Muzzey HapB chr4A Sequence Variants,"Sequence variants, chr4A homozygous, Hap B",chr4A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,RBY_E_6,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr5A_hapA_alignments,Muzzey HapA chr5A Alignments,"Aligned paired-end reads, chr5A homozygous, Hap A",chr5A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,AF4448,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr5A_hapA_coverage,Muzzey HapA chr5A Coverage,"Read coverage, chr5A homozygous, Hap A",chr5A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,AF4448,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr5A_hapA_density,Muzzey HapA chr5A Density,"Read density, chr5A homozygous, Hap A",chr5A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,AF4448,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr5A_hapA_vcf,Muzzey HapA chr5A Sequence Variants,"Sequence variants, chr5A homozygous, Hap A",chr5A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,AF4448,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr5A_hapB_alignments,Muzzey HapB chr5A Alignments,"Aligned paired-end reads, chr5A homozygous, Hap B",chr5A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,AF4448,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr5A_hapB_coverage,Muzzey HapB chr5A Coverage,"Read coverage, chr5A homozygous, Hap B",chr5A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,AF4448,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr5A_hapB_density,Muzzey HapB chr5A Density,"Read density, chr5A homozygous, Hap B",chr5A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,AF4448,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr5A_hapB_vcf,Muzzey HapB chr5A Sequence Variants,"Sequence variants, chr5A homozygous, Hap B",chr5A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,AF4448,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr6A_hapA_alignments,Muzzey HapA chr6A Alignments,"Aligned paired-end reads, chr6A homozygous, Hap A",chr6A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,RBY10_12,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr6A_hapA_coverage,Muzzey HapA chr6A Coverage,"Read coverage, chr6A homozygous, Hap A",chr6A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,RBY10_12,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr6A_hapA_density,Muzzey HapA chr6A Density,"Read density, chr6A homozygous, Hap A",chr6A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,RBY10_12,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr6A_hapA_vcf,Muzzey HapA chr6A Sequence Variants,"Sequence variants, chr6A homozygous, Hap A",chr6A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,RBY10_12,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr6A_hapB_alignments,Muzzey HapB chr6A Alignments,"Aligned paired-end reads, chr6A homozygous, Hap B",chr6A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,RBY10_12,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr6A_hapB_coverage,Muzzey HapB chr6A Coverage,"Read coverage, chr6A homozygous, Hap B",chr6A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,RBY10_12,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr6A_hapB_density,Muzzey HapB chr6A Density,"Read density, chr6A homozygous, Hap B",chr6A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,RBY10_12,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr6A_hapB_vcf,Muzzey HapB chr6A Sequence Variants,"Sequence variants, chr6A homozygous, Hap B",chr6A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,RBY10_12,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr7A_hapA_alignments,Muzzey HapA chr7A Alignments,"Aligned paired-end reads, chr7A homozygous, Hap A",chr7A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,RBY_9_3sm,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr7A_hapA_coverage,Muzzey HapA chr7A Coverage,"Read coverage, chr7A homozygous, Hap A",chr7A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,RBY_9_3sm,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr7A_hapA_density,Muzzey HapA chr7A Density,"Read density, chr7A homozygous, Hap A",chr7A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,RBY_9_3sm,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr7A_hapA_vcf,Muzzey HapA chr7A Sequence Variants,"Sequence variants, chr7A homozygous, Hap A",chr7A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,RBY_9_3sm,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr7A_hapB_alignments,Muzzey HapB chr7A Alignments,"Aligned paired-end reads, chr7A homozygous, Hap B",chr7A homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,RBY_9_3sm,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr7A_hapB_coverage,Muzzey HapB chr7A Coverage,"Read coverage, chr7A homozygous, Hap B",chr7A homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,RBY_9_3sm,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr7A_hapB_density,Muzzey HapB chr7A Density,"Read density, chr7A homozygous, Hap B",chr7A homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,RBY_9_3sm,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chr7A_hapB_vcf,Muzzey HapB chr7A Sequence Variants,"Sequence variants, chr7A homozygous, Hap B",chr7A homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,RBY_9_3sm,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRA_hapA_alignments,Muzzey HapA chrRA Alignments,"Aligned paired-end reads, chrRA homozygous, Hap A",chrRA homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,YJB10699,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRA_hapA_coverage,Muzzey HapA chrRA Coverage,"Read coverage, chrRA homozygous, Hap A",chrRA homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,YJB10699,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRA_hapA_density,Muzzey HapA chrRA Density,"Read density, chrRA homozygous, Hap A",chrRA homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,YJB10699,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRA_hapA_vcf,Muzzey HapA chrRA Sequence Variants,"Sequence variants, chrRA homozygous, Hap A",chrRA homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,YJB10699,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRA_hapB_alignments,Muzzey HapB chrRA Alignments,"Aligned paired-end reads, chrRA homozygous, Hap B",chrRA homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,YJB10699,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRA_hapB_coverage,Muzzey HapB chrRA Coverage,"Read coverage, chrRA homozygous, Hap B",chrRA homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,YJB10699,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRA_hapB_density,Muzzey HapB chrRA Density,"Read density, chrRA homozygous, Hap B",chrRA homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,YJB10699,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRA_hapB_vcf,Muzzey HapB chrRA Sequence Variants,"Sequence variants, chrRA homozygous, Hap B",chrRA homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,YJB10699,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRB_hapA_alignments,Muzzey HapA chrRB Alignments,"Aligned paired-end reads, chrRB homozygous, Hap A",chrRB homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,YJB10698,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRB_hapA_coverage,Muzzey HapA chrRB Coverage,"Read coverage, chrRB homozygous, Hap A",chrRB homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,YJB10698,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRB_hapA_density,Muzzey HapA chrRB Density,"Read density, chrRB homozygous, Hap A",chrRB homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,YJB10698,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRB_hapA_vcf,Muzzey HapA chrRB Sequence Variants,"Sequence variants, chrRB homozygous, Hap A",chrRB homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,YJB10698,A,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRB_hapB_alignments,Muzzey HapB chrRB Alignments,"Aligned paired-end reads, chrRB homozygous, Hap B",chrRB homozygous,Genome Sequence,DNA-Seq,Aligned reads,C. albicans,YJB10698,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRB_hapB_coverage,Muzzey HapB chrRB Coverage,"Read coverage, chrRB homozygous, Hap B",chrRB homozygous,Genome Sequence,DNA-Seq,Coverage plot,C. albicans,YJB10698,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRB_hapB_density,Muzzey HapB chrRB Density,"Read density, chrRB homozygous, Hap B",chrRB homozygous,Genome Sequence,DNA-Seq,Density plot,C. albicans,YJB10698,B,Muzzey,24025428
,,,,,,,,,,,
muzzey_chrRB_hapB_vcf,Muzzey HapB chrRB Sequence Variants,"Sequence variants, chrRB homozygous, Hap B",chrRB homozygous,Sequence Variants,DNA-Seq,Variant,C. albicans,YJB10698,B,Muzzey,24025428
,,,,,,,,,,,
niemiec_chg_77_hapA_alignments,Niemiec HapA PMN Control Yeast 0-min Alignments,"Aligned reads, PMN Control Yeast 0-min, HapA",PMN Yeast Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_77_hapA_coverage,Niemiec HapA PMN Control Yeast 0-min Coverage,"Read coverage, PMN Control Yeast 0-min, HapA",PMN Yeast Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_77_hapA_density,Niemiec HapA PMN Control Yeast 0-min Density,"Read density, PMN Control Yeast 0-min, HapA",PMN Yeast Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_71_hapA_alignments,Niemiec HapA PMN Yeast 15-min Alignments,"Aligned reads, PMN Yeast 15-min, HapA",PMN Yeast 15-min,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_71_hapA_coverage,Niemiec HapA PMN Yeast 15-min Coverage,"Read coverage, PMN Yeast 15-min, HapA",PMN Yeast 15-min,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_71_hapA_density,Niemiec HapA PMN Yeast 15-min Density,"Read density, PMN Yeast 15-min, HapA",PMN Yeast 15-min,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_72_hapA_alignments,Niemiec HapA PMN Yeast 30-min Alignments,"Aligned reads, PMN Yeast 30-min, HapA",PMN Yeast 30-min,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_72_hapA_coverage,Niemiec HapA PMN Yeast 30-min Coverage,"Read coverage, PMN Yeast 30-min, HapA",PMN Yeast 30-min,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_72_hapA_density,Niemiec HapA PMN Yeast 30-min Density,"Read density, PMN Yeast 30-min, HapA",PMN Yeast 30-min,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_73_hapA_alignments,Niemiec HapA PMN Yeast 60-min Alignments,"Aligned reads, PMN Yeast 60-min, HapA",PMN Yeast 60-min,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_73_hapA_coverage,Niemiec HapA PMN Yeast 60-min Coverage,"Read coverage, PMN Yeast 60-min, HapA",PMN Yeast 60-min,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
